district_id,district_name,neighbourhood_id,neighbourhood_name,avg_unit_cadastral_value,avg_income_per_capita,avg_affordability_ratio,avg_pct_small_dwellings,total_dwellings,cluster,cluster_label,pca_1,pca_2
1,Ciutat Vella,1,el Raval,886.6757142857142,14221.142857142857,0.06298095238095239,55.56523809523809,23413,1,Critical,-0.5109907605445003,3.7558084085259864
1,Ciutat Vella,2,el Gòtic,1063.4333333333334,18668.11111111111,0.056944444444444436,33.50555555555556,10499,1,Critical,0.6922679385059949,2.281402471127163
1,Ciutat Vella,3,la Barceloneta,1222.3990909090908,17965.909090909092,0.06818181818181818,76.46545454545455,9221,1,Critical,0.16783307691814267,5.228737152191614
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1032.6446153846155,19655.153846153848,0.05317692307692308,45.51153846153846,14620,1,Critical,0.23870689733861586,2.217187379522501
2,Eixample,5,el Fort Pienc,1078.425,24163.2,0.04488,19.446,15518,2,High-Value,1.198340708132272,0.2461860484062929
2,Eixample,6,la Sagrada Família,1038.0173529411763,23512.617647058825,0.044323529411764706,25.83970588235294,27219,2,High-Value,0.8468365787538672,0.3955777875271337
2,Eixample,7,la Dreta de l'Eixample,1381.623448275862,29815.344827586207,0.04640344827586206,13.64448275862069,26941,2,High-Value,2.6120761236957177,0.2786328994963438
2,Eixample,8,l'Antiga Esquerra de l'Eixample,1285.6488461538463,28278.5,0.045719230769230776,15.425384615384615,24296,2,High-Value,2.1829705350070867,0.23613412270765652
2,Eixample,9,la Nova Esquerra de l'Eixample,1172.9360000000001,26255.95,0.0449025,17.7905,30230,2,High-Value,1.649615875521977,0.2001529598970667
2,Eixample,10,Sant Antoni,1052.1008333333334,23587.5,0.044833333333333336,21.555833333333336,20130,2,High-Value,1.0249839385374857,0.31207733026289197
3,Sants-Montjuïc,11,el Poble Sec,878.1658333333334,18346.0,0.04797916666666666,46.434583333333336,19249,1,Critical,-0.4394146071977451,1.5725261032395206
3,Sants-Montjuïc,12,la Marina del Prat Vermell,648.23,16015.0,0.0405,27.02,940,0,Affordable,-0.8856995803197545,-0.07765420990110464
3,Sants-Montjuïc,13,la Marina de Port,737.9205882352941,18088.29411764706,0.04088823529411765,18.444117647058825,13361,0,Affordable,-0.23607197160697022,-0.327258234084365
3,Sants-Montjuïc,14,la Font de la Guatlla,873.6471428571429,21888.571428571428,0.040057142857142854,25.412857142857145,5074,0,Affordable,0.19093089135222427,-0.18659224361778862
3,Sants-Montjuïc,15,Hostafrancs,873.833,21022.0,0.0418,36.844,8221,0,Affordable,-0.15123437669962428,0.44148342180603517
3,Sants-Montjuïc,16,la Bordeta,843.3630769230768,21269.615384615383,0.039823076923076926,21.576923076923077,8949,0,Affordable,0.16672946682417303,-0.35313326087199687
3,Sants-Montjuïc,17,Sants - Badal,833.94625,20366.375,0.04101875,33.99375,11915,0,Affordable,-0.2481307329145803,0.2402305428317526
3,Sants-Montjuïc,18,Sants,876.0644827586207,22917.44827586207,0.03837931034482758,33.751724137931035,21325,0,Affordable,-0.004648416594125594,-0.11460051403319463
4,Les Corts,19,les Corts,1247.3028571428572,29115.22857142857,0.042865714285714285,19.531142857142857,23328,2,High-Value,1.9579289855235276,-0.0006932718691888077
4,Les Corts,20,la Maternitat i Sant Ramon,1080.756,26100.0,0.041819999999999996,16.412,11782,2,High-Value,1.3612101896096223,-0.266920000347967
4,Les Corts,21,Pedralbes,1653.58,37844.71428571428,0.04522857142857143,11.518571428571429,6107,2,High-Value,3.9835376459381777,0.040770340835971274
5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",966.0166666666668,29594.666666666668,0.033133333333333334,34.57,3069,2,High-Value,0.6116478105567048,-0.8129599716414927
5,Sarrià-Sant Gervasi,23,Sarrià,1503.499375,35446.375,0.0431625,21.34625,12842,2,High-Value,3.0751065130585262,0.10587240355723211
5,Sarrià-Sant Gervasi,24,les Tres Torres,1590.799090909091,41344.181818181816,0.03897272727272728,10.938181818181818,7072,2,High-Value,3.969086908186693,-0.8451870392094735
5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1413.4461111111111,36110.22222222222,0.03949444444444444,16.087777777777777,12766,2,High-Value,2.9587550766563533,-0.5862734876973762
5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1407.845806451613,36283.1935483871,0.039067741935483874,12.62774193548387,25461,2,High-Value,3.04574001932267,-0.7661073365798635
5,Sarrià-Sant Gervasi,27,el Putget i Farró,1145.0584210526315,29461.42105263158,0.03908947368421053,25.69105263157895,16561,2,High-Value,1.4565003116935291,-0.30394636137024295
6,Gràcia,28,Vallcarca i els Penitents,1004.2563636363636,27250.909090909092,0.037190909090909094,28.020909090909093,9091,2,High-Value,0.8052761835030569,-0.4815407700997655
6,Gràcia,29,el Coll,767.508,21389.8,0.03604,37.977999999999994,4029,0,Affordable,-0.5918795589617387,-0.2727137875432289
6,Gràcia,30,la Salut,997.432,25761.2,0.03877,26.814999999999998,6958,2,High-Value,0.7404297679137977,-0.3049440073700937
6,Gràcia,31,Vila de Gràcia,1091.1261111111112,24766.36111111111,0.04425833333333333,37.892500000000005,31775,2,High-Value,0.7362801541689391,0.815006958259545
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1109.3468,25730.16,0.043224,25.3724,18691,2,High-Value,1.1847336992687867,0.2412835813285704
7,Horta-Guinardó,33,el Baix Guinardó,896.6636842105263,22595.21052631579,0.03982631578947369,28.698421052631577,12611,0,Affordable,0.20621362399998738,-0.1009045798424373
7,Horta-Guinardó,34,Can Baró,702.2128571428572,20985.571428571428,0.03367142857142857,37.32,4883,0,Affordable,-0.8407799561132083,-0.6060180513450616
7,Horta-Guinardó,35,el Guinardó,810.4152,21836.28,0.037208,35.0796,19014,0,Affordable,-0.3309260493393281,-0.22084602179921603
7,Horta-Guinardó,36,la Font d'en Fargues,823.2014285714286,26166.0,0.03184285714285714,37.14,5363,0,Affordable,-0.14584443909339537,-0.8800498938573079
