year,district_id,district_name,neighbourhood_id,neighbourhood_name,census_section,unit_cadastral_value,income_per_capita,total_dwellings,small_dwellings,pct_small_dwellings,affordability_ratio,affordability_category
2018,1,Ciutat Vella,1,el Raval,1,974.3,13823.0,819,435,53.11,0.0705,Critical
2018,1,Ciutat Vella,1,el Raval,2,902.2,10919.0,700,356,50.86,0.0826,Critical
2018,1,Ciutat Vella,1,el Raval,3,846.3,11244.0,1331,842,63.26,0.0753,Critical
2018,1,Ciutat Vella,1,el Raval,4,873.2,14434.0,1461,750,51.33,0.0605,Critical
2018,1,Ciutat Vella,1,el Raval,5,888.9,11592.0,1244,463,37.22,0.0767,Critical
2018,1,Ciutat Vella,1,el Raval,6,781.3,13895.0,909,394,43.34,0.0562,Critical
2018,1,Ciutat Vella,1,el Raval,7,828.2,12456.0,887,421,47.46,0.0665,Critical
2018,1,Ciutat Vella,1,el Raval,8,805.8,9713.0,1258,951,75.6,0.083,Critical
2018,1,Ciutat Vella,1,el Raval,9,830.3,11922.0,1015,611,60.2,0.0696,Critical
2018,1,Ciutat Vella,1,el Raval,10,765.2,10565.0,965,747,77.41,0.0724,Critical
2018,1,Ciutat Vella,1,el Raval,11,842.4,10353.0,1545,1178,76.25,0.0814,Critical
2018,1,Ciutat Vella,1,el Raval,12,902.5,12881.0,1060,710,66.98,0.0701,Critical
2018,1,Ciutat Vella,1,el Raval,13,916.3,13797.0,621,241,38.81,0.0664,Critical
2018,1,Ciutat Vella,1,el Raval,14,850.5,12349.0,817,474,58.02,0.0689,Critical
2018,1,Ciutat Vella,1,el Raval,15,867.6,12385.0,1090,671,61.56,0.0701,Critical
2018,1,Ciutat Vella,1,el Raval,16,860.5,12105.0,1048,683,65.17,0.0711,Critical
2018,1,Ciutat Vella,1,el Raval,17,803.8,11824.0,1186,840,70.83,0.068,Critical
2018,1,Ciutat Vella,1,el Raval,18,912.4,12363.0,685,309,45.11,0.0738,Critical
2018,1,Ciutat Vella,1,el Raval,19,944.1,12033.0,1577,899,57.01,0.0785,Critical
2018,1,Ciutat Vella,1,el Raval,20,934.0,18655.0,1325,364,27.47,0.0501,Critical
2018,1,Ciutat Vella,1,el Raval,21,1192.0,18502.0,1569,613,39.07,0.0644,Critical
2018,1,Ciutat Vella,2,el Gòtic,22,1542.9,22565.0,883,193,21.86,0.0684,Critical
2018,1,Ciutat Vella,2,el Gòtic,23,1229.5,18206.0,1560,553,35.45,0.0675,Critical
2018,1,Ciutat Vella,2,el Gòtic,25,1043.4,17964.0,1096,379,34.58,0.0581,Critical
2018,1,Ciutat Vella,2,el Gòtic,26,924.1,17588.0,1072,411,38.34,0.0525,Critical
2018,1,Ciutat Vella,2,el Gòtic,27,931.6,15630.0,1032,325,31.49,0.0596,Critical
2018,1,Ciutat Vella,2,el Gòtic,28,1130.0,16220.0,1322,505,38.2,0.0697,Critical
2018,1,Ciutat Vella,2,el Gòtic,29,896.6,14475.0,889,307,34.53,0.0619,Critical
2018,1,Ciutat Vella,2,el Gòtic,30,940.0,13746.0,1362,364,26.73,0.0684,Critical
2018,1,Ciutat Vella,2,el Gòtic,31,930.8,16152.0,1116,404,36.2,0.0576,Critical
2018,1,Ciutat Vella,3,la Barceloneta,32,1222.3,17612.0,1237,962,77.77,0.0694,Critical
2018,1,Ciutat Vella,3,la Barceloneta,33,1229.4,14224.0,707,586,82.89,0.0864,Critical
2018,1,Ciutat Vella,3,la Barceloneta,34,1195.7,15433.0,695,638,91.8,0.0775,Critical
2018,1,Ciutat Vella,3,la Barceloneta,35,1180.6,15160.0,770,708,91.95,0.0779,Critical
2018,1,Ciutat Vella,3,la Barceloneta,36,1366.3,15971.0,788,519,65.86,0.0855,Critical
2018,1,Ciutat Vella,3,la Barceloneta,37,1159.9,15742.0,672,381,56.7,0.0737,Critical
2018,1,Ciutat Vella,3,la Barceloneta,38,1171.4,15057.0,928,858,92.46,0.0778,Critical
2018,1,Ciutat Vella,3,la Barceloneta,39,1182.5,16697.0,783,454,57.98,0.0708,Critical
2018,1,Ciutat Vella,3,la Barceloneta,40,1275.2,17448.0,702,578,82.34,0.0731,Critical
2018,1,Ciutat Vella,3,la Barceloneta,41,1187.1,14711.0,1021,934,91.48,0.0807,Critical
2018,1,Ciutat Vella,3,la Barceloneta,42,1266.8,16550.0,857,427,49.82,0.0765,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,1206.7,22890.0,1153,349,30.27,0.0527,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,1111.2,21255.0,950,311,32.74,0.0523,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,1016.6,17201.0,1485,747,50.3,0.0591,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,1083.8,18899.0,1242,580,46.7,0.0573,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,965.9,14990.0,1253,737,58.82,0.0644,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,945.4,13325.0,1348,766,56.82,0.0709,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,1040.2,16845.0,765,226,29.54,0.0618,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,937.5,16540.0,922,483,52.39,0.0567,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,912.8,13718.0,1114,715,64.18,0.0665,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,1068.6,24205.0,1330,292,21.95,0.0441,Pressured
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,974.4,15856.0,1333,802,60.17,0.0615,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,1036.3,16889.0,860,534,62.09,0.0614,Critical
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,1070.7,19320.0,684,176,25.73,0.0554,Critical
2018,2,Eixample,5,el Fort Pienc,1,1113.7,21700.0,595,186,31.26,0.0513,Critical
2018,2,Eixample,5,el Fort Pienc,2,1110.0,21731.0,895,220,24.58,0.0511,Critical
2018,2,Eixample,5,el Fort Pienc,3,1082.3,23893.0,536,147,27.43,0.0453,Pressured
2018,2,Eixample,5,el Fort Pienc,4,1037.7,18304.0,621,36,5.8,0.0567,Critical
2018,2,Eixample,5,el Fort Pienc,5,1086.8,23931.0,1001,61,6.09,0.0454,Pressured
2018,2,Eixample,5,el Fort Pienc,6,1189.8,23630.0,829,64,7.72,0.0504,Critical
2018,2,Eixample,5,el Fort Pienc,7,1186.8,26857.0,612,136,22.22,0.0442,Pressured
2018,2,Eixample,5,el Fort Pienc,8,1085.3,23212.0,846,48,5.67,0.0468,Pressured
2018,2,Eixample,5,el Fort Pienc,9,1085.1,22745.0,792,191,24.12,0.0477,Critical
2018,2,Eixample,5,el Fort Pienc,10,1000.1,21331.0,543,31,5.71,0.0469,Pressured
2018,2,Eixample,5,el Fort Pienc,11,1080.8,24566.0,553,100,18.08,0.044,Pressured
2018,2,Eixample,5,el Fort Pienc,12,1045.6,18534.0,679,91,13.4,0.0564,Critical
2018,2,Eixample,5,el Fort Pienc,13,955.7,19920.0,598,259,43.31,0.048,Critical
2018,2,Eixample,5,el Fort Pienc,14,974.1,18526.0,689,103,14.95,0.0526,Critical
2018,2,Eixample,5,el Fort Pienc,15,987.7,18857.0,759,197,25.96,0.0524,Critical
2018,2,Eixample,5,el Fort Pienc,16,1053.6,25312.0,940,212,22.55,0.0416,Moderate
2018,2,Eixample,5,el Fort Pienc,17,1150.4,24008.0,933,100,10.72,0.0479,Critical
2018,2,Eixample,5,el Fort Pienc,18,1151.7,25015.0,940,129,13.72,0.046,Pressured
2018,2,Eixample,5,el Fort Pienc,19,1091.2,22153.0,949,99,10.43,0.0493,Critical
2018,2,Eixample,5,el Fort Pienc,20,1040.5,19886.0,825,409,49.58,0.0523,Critical
2018,2,Eixample,6,la Sagrada Família,21,956.4,21253.0,812,270,33.25,0.045,Pressured
2018,2,Eixample,6,la Sagrada Família,22,981.9,21921.0,629,124,19.71,0.0448,Pressured
2018,2,Eixample,6,la Sagrada Família,23,1027.0,22719.0,537,169,31.47,0.0452,Pressured
2018,2,Eixample,6,la Sagrada Família,24,961.4,19623.0,609,138,22.66,0.049,Critical
2018,2,Eixample,6,la Sagrada Família,25,1031.9,19304.0,668,243,36.38,0.0535,Critical
2018,2,Eixample,6,la Sagrada Família,26,1040.1,21915.0,1060,281,26.51,0.0475,Critical
2018,2,Eixample,6,la Sagrada Família,27,1027.5,22436.0,994,110,11.07,0.0458,Pressured
2018,2,Eixample,6,la Sagrada Família,28,1017.9,24053.0,1112,408,36.69,0.0423,Moderate
2018,2,Eixample,6,la Sagrada Família,29,1017.4,21043.0,608,91,14.97,0.0483,Critical
2018,2,Eixample,6,la Sagrada Família,30,994.0,17197.0,629,92,14.63,0.0578,Critical
2018,2,Eixample,6,la Sagrada Família,31,1069.1,24982.0,508,70,13.78,0.0428,Moderate
2018,2,Eixample,6,la Sagrada Família,32,923.8,21400.0,541,132,24.4,0.0432,Moderate
2018,2,Eixample,6,la Sagrada Família,33,1025.6,22438.0,638,255,39.97,0.0457,Pressured
2018,2,Eixample,6,la Sagrada Família,34,1014.8,19082.0,651,258,39.63,0.0532,Critical
2018,2,Eixample,6,la Sagrada Família,35,1028.6,22253.0,694,92,13.26,0.0462,Pressured
2018,2,Eixample,6,la Sagrada Família,36,1023.6,24482.0,589,149,25.3,0.0418,Moderate
2018,2,Eixample,6,la Sagrada Família,37,1060.0,25253.0,579,121,20.9,0.042,Moderate
2018,2,Eixample,6,la Sagrada Família,38,1072.1,24265.0,784,253,32.27,0.0442,Pressured
2018,2,Eixample,6,la Sagrada Família,39,1035.8,21592.0,922,225,24.4,0.048,Critical
2018,2,Eixample,6,la Sagrada Família,40,1017.4,19817.0,839,401,47.79,0.0513,Critical
2018,2,Eixample,6,la Sagrada Família,41,1045.3,21741.0,831,251,30.2,0.0481,Critical
2018,2,Eixample,6,la Sagrada Família,42,1048.8,25715.0,786,58,7.38,0.0408,Moderate
2018,2,Eixample,6,la Sagrada Família,43,1108.0,23637.0,687,105,15.28,0.0469,Pressured
2018,2,Eixample,6,la Sagrada Família,44,1041.2,19565.0,582,140,24.05,0.0532,Critical
2018,2,Eixample,6,la Sagrada Família,45,1061.7,22734.0,574,188,32.75,0.0467,Pressured
2018,2,Eixample,6,la Sagrada Família,46,979.5,20106.0,1023,122,11.93,0.0487,Critical
2018,2,Eixample,6,la Sagrada Família,47,1069.3,21211.0,895,186,20.78,0.0504,Critical
2018,2,Eixample,6,la Sagrada Família,48,1060.7,21187.0,602,119,19.77,0.0501,Critical
2018,2,Eixample,6,la Sagrada Família,49,1089.5,19983.0,1096,474,43.25,0.0545,Critical
2018,2,Eixample,6,la Sagrada Família,50,1011.0,21494.0,924,347,37.55,0.047,Pressured
2018,2,Eixample,6,la Sagrada Família,51,903.6,20767.0,1041,248,23.82,0.0435,Pressured
2018,2,Eixample,6,la Sagrada Família,52,1153.0,22232.0,1024,297,29.0,0.0519,Critical
2018,2,Eixample,6,la Sagrada Família,53,1142.8,23877.0,1076,306,28.44,0.0479,Critical
2018,2,Eixample,6,la Sagrada Família,54,1121.5,23604.0,965,196,20.31,0.0475,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,55,1154.0,23625.0,1018,177,17.39,0.0488,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,56,1187.3,24333.0,733,139,18.96,0.0488,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,57,1242.1,30251.0,602,44,7.31,0.0411,Moderate
2018,2,Eixample,7,la Dreta de l'Eixample,58,1230.1,27291.0,761,67,8.8,0.0451,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,59,1233.7,27992.0,770,59,7.66,0.0441,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,60,1167.4,23892.0,915,113,12.35,0.0489,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,61,1214.8,23682.0,722,222,30.75,0.0513,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,62,1254.8,28561.0,831,76,9.15,0.0439,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,63,1324.2,34169.0,656,49,7.47,0.0388,Affordable
2018,2,Eixample,7,la Dreta de l'Eixample,64,1294.7,30114.0,665,42,6.32,0.043,Moderate
2018,2,Eixample,7,la Dreta de l'Eixample,65,1252.8,27159.0,959,139,14.49,0.0461,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,66,1153.6,24991.0,908,158,17.4,0.0462,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,67,1131.2,22549.0,1036,307,29.63,0.0502,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,68,1172.7,23557.0,881,174,19.75,0.0498,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,69,1273.9,24283.0,717,85,11.85,0.0525,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,70,1234.1,26401.0,750,127,16.93,0.0467,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,71,1265.5,30248.0,878,64,7.29,0.0418,Moderate
2018,2,Eixample,7,la Dreta de l'Eixample,72,1302.4,33171.0,601,45,7.49,0.0393,Affordable
2018,2,Eixample,7,la Dreta de l'Eixample,73,1239.3,29641.0,887,118,13.3,0.0418,Moderate
2018,2,Eixample,7,la Dreta de l'Eixample,74,1170.9,30447.0,670,55,8.21,0.0385,Affordable
2018,2,Eixample,7,la Dreta de l'Eixample,75,1211.0,26381.0,727,98,13.48,0.0459,Pressured
2018,2,Eixample,7,la Dreta de l'Eixample,76,1258.0,30501.0,874,90,10.3,0.0412,Moderate
2018,2,Eixample,7,la Dreta de l'Eixample,77,1819.7,29219.0,1138,164,14.41,0.0623,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,78,2079.2,31565.0,930,159,17.1,0.0659,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,79,1795.3,33157.0,993,113,11.38,0.0541,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,80,1799.2,34490.0,980,119,12.14,0.0522,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,81,1819.4,33111.0,1497,149,9.95,0.0549,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,82,1816.2,30313.0,694,59,8.5,0.0599,Critical
2018,2,Eixample,7,la Dreta de l'Eixample,83,1779.1,41197.0,1421,206,14.5,0.0432,Moderate
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,1268.5,28502.0,1183,180,15.22,0.0445,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,1286.3,27916.0,1007,112,11.12,0.0461,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,1254.6,30253.0,848,72,8.49,0.0415,Moderate
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,1252.9,27222.0,844,132,15.64,0.046,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,1297.5,28134.0,969,158,16.31,0.0461,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,1274.7,27173.0,1087,164,15.09,0.0469,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,1241.5,23989.0,952,173,18.17,0.0518,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,1258.8,26959.0,1087,157,14.44,0.0467,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,1223.6,24816.0,958,169,17.64,0.0493,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,1273.4,26288.0,853,131,15.36,0.0484,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,1301.0,25983.0,755,99,13.11,0.0501,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,1217.9,25590.0,782,145,18.54,0.0476,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,1253.8,23713.0,735,152,20.68,0.0529,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,1247.7,23164.0,656,181,27.59,0.0539,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,1236.1,24206.0,832,82,9.86,0.0511,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,1244.7,26544.0,763,122,15.99,0.0469,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,1344.4,25894.0,732,138,18.85,0.0519,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,1279.8,24787.0,1119,164,14.66,0.0516,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,1274.3,29614.0,736,76,10.33,0.043,Moderate
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,1280.0,21799.0,957,291,30.41,0.0587,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,1343.4,27682.0,590,9,1.53,0.0485,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,1254.3,22405.0,1165,99,8.5,0.056,Critical
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,1286.8,28090.0,822,216,26.28,0.0458,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,1329.9,29752.0,966,81,8.39,0.0447,Pressured
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,1367.0,32828.0,881,122,13.85,0.0416,Moderate
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,1398.5,32485.0,1162,68,5.85,0.0431,Moderate
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,110,1243.6,24427.0,1109,295,26.6,0.0509,Critical
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,111,1216.4,25247.0,999,251,25.13,0.0482,Critical
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,112,1395.2,29311.0,652,17,2.61,0.0476,Critical
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,113,1244.6,29533.0,1123,48,4.27,0.0421,Moderate
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,114,1161.2,24446.0,882,80,9.07,0.0475,Critical
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,115,1107.4,22365.0,753,166,22.05,0.0495,Critical
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,116,1212.3,29050.0,497,28,5.63,0.0417,Moderate
